"Field_ID","Label","Entity","Description","Type","Allowed_Values","Required","Capture","Validation","Privacy","Critical_Path","Why_It_Matters"
"group_governance_model","Governance model","group","How the group is constituted and supervised.","enum","standard_vsla; federated; ngo_managed; employer_linked; informal_rosca; other","required","origination","in enum","private","no","Governance is the mechanism the whole PL-1 thesis rests on (Memo 1). Needs to be a controlled variable, not a free-text note."
"group_meeting_frequency","Meeting frequency","group","How often the group meets to collect savings and repayments.","enum","weekly; fortnightly; monthly; irregular","required","origination","in enum","private","yes","Sets the natural repayment cadence and therefore the cash-flow granularity available to a waterfall. Also the monitoring frequency ceiling for RT-3."
"group_savings_balance","Group savings balance","group","Total group savings held at the point of origination, in local currency.","decimal",">= 0","required","origination",">= 0; currency required","private","yes","The internal loss-absorbing layer that sits beneath any external first-loss tranche. Sizing the junior layer (OQ-6) without knowing it double-counts protection."
"group_currency_code","Currency","group","ISO 4217 currency of the group's ledger.","string","ISO 4217","required","origination","valid ISO code","public","yes","Every amount in this schema is meaningless without it. FX mismatch against a hard-currency tranche is a named risk in the business plan."
"group_admin1","Region (admin level 1)","group","First-level administrative region. Deliberately coarse - no GPS, no village name.","string","free text, controlled per country","required","origination","non-empty","private","yes","Geographic concentration drives correlated default, the parameter RT-5 is most sensitive to. Coarse enough not to identify a group; fine enough to model a regional drought."
"group_admin2","District (admin level 2)","group","Second-level administrative area.","string","free text, controlled per country","optional","origination","","sensitive","no","Improves correlation modelling but narrows anonymity. Optional by design - collect only where the cohort is large enough that it does not identify a group."
"group_climate_zone","Climate zone","group","Coarse agro-climatic classification.","enum","arid; semi_arid; sub_humid; humid; highland; urban; peri_urban","optional","origination","in enum","private","no","The link between the ENSO and food-price indicators on the macro watch and this pool's expected stress. Without it a weather shock cannot be mapped to a cohort."
"group_savix_id","SAVIX ID","group","Identifier in the SAVIX savings-group MIS, where the group is already registered.","string","","optional","origination","","private","yes","If populated, historical group data can be mapped in without re-collection. This is potentially the difference between a pilot of 20 groups and a pool of hundreds (RT-1 open question)."
"group_schema_version","Schema version","group","Version of this schema the record was captured under.","string","semver","required","origination","semver pattern","public","yes","A mixed-vintage portfolio without version stamps is uninterpretable. Cannot be backfilled because you no longer know which rules applied."
"member_id","Member ID","member","Pseudonymous member identifier. The mapping to a real identity lives only in the Vault.","string","pattern MEM-[0-9]{8}","required","origination","matches pattern; unique","private","yes","Lets borrower-level performance be modelled without any personal data entering the repo or the pool. The separation is what makes the whole dataset publishable in aggregate."
"member_group_id","Group","member","Group the member belongs to.","string","FK group.group_id","required","origination","referential integrity","private","yes","Joint liability only means anything if membership is known at the time of the loan."
"member_join_date","Join date","member","Date the member joined the group.","date","ISO 8601 date","required","origination",">= group_formation_date","private","yes","Tenure in the group is a screening signal available at zero cost, and it is gone once records turn over."
"member_role","Role","member","Position held in the group at origination.","enum","member; chair; secretary; treasurer; box_keeper; key_holder","required","updated","","private","no","Officeholders have different incentives and different access to the box. Relevant to fraud risk, which LIT-014 flags as the real consumer-protection concern in savings groups."
"member_sex","Sex","member","Self-reported. Undisclosed is a valid and non-penalised answer.","enum","female; male; other; undisclosed","optional","origination","in enum","sensitive","no","Female economic agency is among the most robust findings in the microfinance evidence base (LIT-003, Memo 2). Needed in aggregate for impact reporting. Aggregate only - never published at row level."
"member_age_band","Age band","member","Banded rather than exact date of birth, deliberately.","enum","under_25; 25_34; 35_44; 45_54; 55_plus; undisclosed","optional","origination","in enum","sensitive","no","Banding gives the cohort analysis value while removing a direct identifier. Exact DOB would be personal data with no additional analytical benefit."
"member_primary_livelihood","Primary livelihood","member","Main income source.","enum","smallholder_farming; livestock; petty_trade; wage_labour; salaried; artisan; remittance_dependent; mixed; other","required","origination","in enum","private","yes","The transmission channel from a macro shock to this borrower. A food-price spike hits a smallholder and a salaried worker in opposite directions; without this the macro watch cannot be connected to the pool."
"member_prior_cycles","Prior cycles completed","member","Number of full savings cycles this member has completed with the group.","integer","0..50","required","origination","0 <= x <= 50","private","yes","The closest thing to a credit history that exists for this population, and the primary input to RT-2's first rules-based score."
"member_schema_version","Schema version","member","Version of this schema the record was captured under.","string","semver","required","origination","semver pattern","public","yes","Member records are the longest-lived rows in the schema and will outlast several schema versions. Without a stamp you cannot tell whether a null age band means undisclosed or not-yet-collected."
"loan_id","Loan ID","loan","Unique loan identifier.","string","pattern LN-[0-9]{10}","required","origination","matches pattern; unique","private","yes","The unit of the data tape. Every ABS reporting template is loan-level (RES-28)."
"loan_group_id","Group","loan","Originating group.","string","FK group.group_id","required","origination","referential integrity","private","yes","Group is the concentration unit for joint-liability lending."
"loan_member_id","Borrower","loan","Borrowing member.","string","FK member.member_id","required","origination","referential integrity","private","yes","Links the loan to a borrowing history. Borrower-level default behaviour is what RT-2 learns from, and joint-liability recovery depends on knowing which member the group is standing behind."
"loan_disbursement_date","Disbursement date","loan","Date funds were actually released, not the date approved.","date","ISO 8601 date","required","origination","not in future","private","yes","Time zero for every cash-flow calculation. An approval date substituted here silently corrupts every vintage curve built from the pool."
"loan_principal","Principal","loan","Amount disbursed, in the group's currency.","decimal","> 0","required","origination","> 0","private","yes","Exposure at origination - the single number every loss, recovery and tranche calculation is a proportion of. Irreducible and unreconstructible once the ledger moves on."
"loan_currency_code","Currency","loan","ISO 4217 currency of the loan.","string","ISO 4217","required","origination","valid ISO code","public","yes","Bare amounts are unusable in a multi-country pool. Also the FX exposure the business plan flags as a live risk."
"loan_term_days","Term (days)","loan","Contractual term from disbursement to final scheduled payment.","integer","7..1095","required","origination","7 <= x <= 1095","private","yes","Weighted average life drives the tranche structure. Days rather than months because VSLA loans are often cycle-bound and short."
"loan_repayment_frequency","Repayment frequency","loan","Contractual repayment cadence.","enum","weekly; fortnightly; monthly; bullet; irregular","required","origination","in enum; consistent with group_meeting_frequency","private","yes","Determines collection timing into the waterfall. A bullet loan and a weekly amortiser with the same term are completely different assets to a senior noteholder."
"loan_scheduled_instalments","Scheduled instalments","loan","Number of scheduled payments over the term.","integer","1..156","required","origination","1 <= x <= 156; consistent with term and frequency","private","yes","Lets the expected schedule be reconstructed, which is the baseline every arrears calculation is measured against."
"loan_charge_rate_pct","Charge rate (%)","loan","Service charge or interest rate as quoted to the borrower.","decimal","0..100","required","origination","0 <= x <= 100","private","yes","Gross yield on the asset, and the first input to whether a structure can cover its costs and still pay a senior coupon."
"loan_charge_basis","Charge basis","loan","How the charge is computed. VSLAs typically use a flat monthly service charge, not declining balance.","enum","flat_monthly; flat_per_cycle; declining_balance; fixed_fee","required","origination","in enum","private","yes","A flat monthly charge and a declining-balance rate of the same nominal number are materially different yields. Getting this wrong misprices the whole pool."
"loan_purpose_code","Use of proceeds","loan","Primary stated purpose of the loan.","enum","agriculture_input; livestock; trade_stock; equipment; education; health; housing; emergency_consumption; energy_asset; debt_refinance; other","required","origination","in enum","private","yes","Both an impact-reporting field and a risk field: an agricultural-input loan is exposed to the same harvest the borrower repays from, which is correlated risk hiding inside an apparently diversified pool."
"loan_guarantee_type","Guarantee structure","loan","What stands behind the loan if the borrower does not pay.","enum","group_joint_liability; social_collateral; cash_savings_pledge; physical_collateral; external_guarantee; none","required","origination","in enum","private","yes","The credit-enhancement layer already present inside the asset. Cannot be reconstructed after the fact, and directly changes loss-given-default."
"loan_guarantee_coverage_pct","Guarantee coverage (%)","loan","Share of principal covered by the guarantee structure.","decimal","0..100","optional","origination","0 <= x <= 100","private","yes","Required to avoid double-counting protection between the internal guarantee and an external first-loss tranche (OQ-6)."
"loan_borrower_savings_at_disbursement","Borrower savings at disbursement","loan","The borrower's own savings balance in the group at disbursement.","decimal",">= 0","required","origination",">= 0","private","yes","Skin in the game, and the classic VSLA underwriting ratio. Recoverable only at the moment of disbursement."
"loan_to_savings_ratio","Loan-to-savings ratio","loan","Principal divided by borrower savings at disbursement.","decimal",">= 0","required","derived","= loan_principal / loan_borrower_savings_at_disbursement","derived","no","Derived rather than captured, so it can never disagree with its inputs. The primary underwriting ratio in most savings-group methodologies."
"loan_prior_loans_count","Prior loans","loan","Number of loans this borrower has previously taken in this group.","integer","0..100","required","origination",">= 0","private","yes","Repeat borrowing is the strongest single predictor available pre-track-record, and it is a point-in-time fact that cannot be rebuilt later."
"loan_first_loss_provider_id","First-loss provider","loan","External guarantor or first-loss provider, where one exists.","string","","optional","origination","","private","no","Attribution of mobilised capital to the first-loss provider follows OECD practice (LIT-012, LIT-013). Needs to be traceable per loan to be reportable."
"loan_schema_version","Schema version","loan","Version of this schema the record was captured under.","string","semver","required","origination","semver pattern","public","yes","Loans are the unit of the data tape. A pool mixing two schema vintages without stamps cannot be reconciled to either definition, and a rating agency will treat that as unaudited data."
"event_id","Event ID","event","Unique identifier for a payment or status event.","string","pattern EV-[0-9]{12}","required","updated","matches pattern; unique","private","yes","The event table is the asset. Static loan attributes are cheap; the payment-behaviour time series is what an investor actually prices."
"event_loan_id","Loan","event","Loan the event belongs to.","string","FK loan.loan_id","required","updated","referential integrity","private","yes","Orphan events are unusable; referential integrity is checked by the validator."
"event_date","Event date","event","Date the event occurred, not the date it was recorded.","date","ISO 8601 date","required","updated","not in future; >= loan_disbursement_date","private","yes","Payment timing is the whole cash flow. A recording date substituted for an occurrence date makes every DPD calculation wrong in a direction that flatters the pool."
"event_type","Event type","event","What happened.","enum","scheduled_repayment; early_repayment; partial_repayment; missed_payment; arrears_flagged; restructure; write_off; recovery; insurance_claim; insurance_payout; share_out","required","updated","in enum","private","yes","Distinguishing a missed payment from a restructure from a write-off is the difference between a delinquency curve and a loss curve. Collapsing them destroys both."
"event_amount","Amount","event","Cash amount of the event. Zero is valid and distinct from null.","decimal",">= 0","required","updated",">= 0; null not permitted","private","yes","A missed payment of zero and no record at all are different facts. Nulls-as-zeros is the most common silent corruption in loan tapes."
"event_principal_component","Principal component","event","Portion of the amount applied to principal.","decimal",">= 0","optional","updated","<= event_amount","private","no","Allows principal and yield cash flows to be split in the waterfall. Derivable from the schedule if absent, which is why it is optional rather than required."
"event_balance_after","Balance after","event","Outstanding principal immediately after the event.","decimal",">= 0","required","updated",">= 0","private","yes","The reconciliation anchor. Lets the validator catch a broken payment sequence rather than discovering it during a data-tape review."
"event_days_past_due","Days past due","event","DPD at the time of the event.","integer","0..3650","required","updated",">= 0","private","yes","The input to RT-3's early-warning thresholds and to every delinquency bucket a rating agency will ask for."
"event_recorded_by_role","Recorded by","event","Role of the person who recorded the event.","enum","secretary; treasurer; chair; field_officer; automated; other","optional","updated","in enum","private","no","Provenance for audit. A verification partner will want to know whether a figure was self-reported by the group or observed by a field officer."
"event_schema_version","Schema version","event","Version of this schema the record was captured under.","string","semver","required","updated","semver pattern","public","yes","Event definitions are the most likely part of this schema to change as field practice settles. Without a stamp, a change in what counts as arrears silently rewrites the history of every prior vintage."
