"ID","Theme","Type","Geography","Population","Community_Context","Problem","SDG_Refs","Product_Concept","Design","Primary_Outcome","Toolbox_Fit","RQ_Refs","Candidate_Partners","Candidate_Funders","Research_Significance","PhD_Feasibility","Partner_Availability","Implementation_Ease","Grant_Exposure","Composite","Priority_Band","Linked_Refs","Status"
"EXP-11","Climate + Poverty","Design science and administrative data","Global coffee origins","Certified coffee cooperatives and their existing lenders","Coffee cooperatives already operating under certification and traceability regimes that capture transaction-level data","Certification and traceability systems already collect much of what an origination schema would demand, but the data was built for provenance claims rather than for credit, and nobody has tested whether it can carry underwriting.","SDG 1; SDG 8; SDG 12","Repurpose existing traceability and certification records as an origination data tape, and test whether receivables against certified sales can be pooled without new field data capture.","Design-science build against real certification data, validated by out-of-sample default prediction","Share of RT-1 required fields satisfiable from existing records; predictive lift over a no-data baseline","Directly tests RT-1 against a live data source; if it holds, the marginal cost of securitisation-ready capture in this value chain is near zero.","RQ-06; RQ-21; RQ-01","Certification bodies; agricultural value-chain lenders; cooperative federations","FSD Africa; IDRC","4","4","4","4","3","3.90","Strong","PL-1; LC-24; OQ-3","Idea"
"EXP-12","Mechanism","Field RCT","Adaptable - any savings-group or SHG setting","Savings-group members and the groups themselves as borrowers","Savings groups receiving external loan capital, in a network large enough to randomise the lending level","Securitisation removes the community as the individual-level creditor, which is the layer the evidence says does the actual work. Whether the local information advantage survives depends on where the external creditor attaches.","SDG 1; SDG 8","Randomise whether external capital is lent to the group as a single borrower that on-lends to members, or directly to members with the group as guarantor. Contract economics held constant.","Cluster RCT on lending level, with mechanism measures (screening decisions, monitoring contact, sanction events)","Member-level default rate; measured local information use in screening decisions","This is the empirical test of OQ-13 and it determines which structure RT-1 and RT-5 must be built for.","RQ-01; RQ-04; RQ-16","Savings-group network operators; an MFI willing to vary its lending structure; an academic field team","3ie; IDRC; J-PAL","5","2","2","2","4","3.25","Reserve","PL-1; OQ-13; OQ-12","Idea"
"EXP-13","Mechanism","Field RCT","Adaptable - any savings-group setting with external funding available","Savings-group members borrowing from mixed funding sources","Savings groups where some loan capital is the members' own accumulated savings and some is externally supplied","The mechanism evidence points at repeated interaction and members' own money at stake. Securitisation substitutes outside money for community money, and no study has randomised that substitution.","SDG 1; SDG 8","Randomise, within treated groups, whether the loan fund is the group's own savings or external wholesale capital, holding terms and lending capacity constant.","Second-layer randomisation within a cluster RCT (research-framework section 3)","Repayment rate and arrears trajectory by funding source; informal risk-sharing measures","Tests the assumption every downstream tool rests on. A null result clears the pooling thesis; a negative result redirects the venture to the group-level structure.","RQ-01; RQ-04; RQ-15","Savings-group network operators; an academic field team; a wholesale lender","3ie; IDRC; J-PAL","5","2","2","2","4","3.25","Reserve","PL-1; OQ-12; OQ-13","Idea"
"EXP-14","Mechanism","Field RCT","Adaptable - savings-group networks at formation stage","Newly formed savings groups","Savings groups at formation, where promoting NGOs already set constitution rules as a matter of course","Group rules on buffers and emergency funds are set by convention rather than evidence, and they plausibly determine whether a shock becomes a default.","SDG 1; SDG 8","Randomise the constitution: capital buffer size and whether the group runs a separate emergency fund alongside the loan fund.","Cluster RCT on rule variation at group formation, low marginal cost because rules are being set anyway","Default incidence through the cycle; share of shocks absorbed without missed repayment","Cheapest way to test whether formal underwriting substitutes for or complements group self-insurance.","RQ-04; RQ-17","Savings-group promoting NGOs; VSLA network trainers","3ie; IDRC","4","3","4","4","3","3.60","Strong","PL-1; LC-02","Idea"
"EXP-15","Mechanism","Field RCT","Adaptable - savings-group networks","Savings-group members","Established savings groups where repayment information is currently shared informally or not at all","The information channel and the sanction channel can trade against each other. Which one disclosure strengthens is testable and has never been tested directly in this setting.","SDG 1; SDG 8","Randomise whether individual repayment performance is disclosed to the full group, to officers only, or not at all.","Cluster RCT on disclosure regime with measured social-cost outcomes alongside repayment","Repayment rate; measured social sanction and group cohesion","Separates the information and sanction channels that Ghatak and Guinnane describe, using a lever a lender could actually pull.","RQ-04; RQ-17","Savings-group promoting NGOs; an academic field team","3ie; IDRC; J-PAL","4","3","4","4","3","3.60","Strong","PL-1; LC-02","Idea"
"EXP-16","Climate + Poverty","Field RCT","Adaptable - agricultural savings-group settings","Smallholder borrowers on seasonal income cycles","Savings groups lending against seasonal agricultural income","Rigid repayment schedules are a poor fit for seasonal income and may generate defaults that reflect timing rather than capacity.","SDG 1; SDG 2","Randomise repayment structure: rigid schedule, grace period, or income-flexible schedule tied to harvest timing.","Cluster RCT on repayment structure","Default rate and arrears volatility; household investment during the cycle","Cash-flow shape is exactly what a securitisation prices, so this speaks to both estimands at once.","RQ-02; RQ-03","MFI and savings-group network partners","3ie; IDRC","3","3","4","4","3","3.25","Reserve","PL-1","Idea"
"EXP-17","Climate + Poverty","Field RCT","Adaptable - any bundled-cover pilot site","Borrowing households offered climate cover","Savings-group members offered cover alongside credit","Automatic cover financed into principal produces near-universal take-up, but it is then impossible to tell whether measured effects come from protection or from who ends up covered.","SDG 1; SDG 13","Offer the same actuarial product three ways: financed into principal, opt-in at the same price, and opt-in with a subsidy that equalises take-up.","Three-arm cluster RCT separating the protection effect from the take-up effect","Resilience outcome conditional on shock, decomposed into take-up and protection channels","Answers the design question every bundling result depends on, and is a cheap add-on arm to any of the parametric pilots. PROMOTED IN IMPORTANCE 2026-08-22: the LC-04 read makes this the central experiment rather than an add-on arm. LIT-024 and LIT-025 show compulsory priced-in cover suppresses demand; LIT-026 shows demand is strong when cover is offered separately. Separating the take-up effect from the protection effect is therefore the live question in this literature, and this is the design that does it. See OQ-17.","RQ-02; RQ-09","Any originator running a bundled pilot; an academic field team","J-PAL King Climate Action Initiative; 3ie","4","3","3","3","4","3.45","Strong","PL-1; LC-04; LIT-024; LIT-025; LIT-026; OQ-17","Idea"
"EXP-18","Climate + Poverty","Field RCT","Adaptable - climate-exposed agricultural settings","Smallholder households facing covariate climate risk","Savings groups in areas with an indexable climate peril","Insurance and contingent credit are alternative answers to the same problem, and the sector assumes insurance is better without having raced them directly.","SDG 1; SDG 13","A drought-triggered contingent credit line versus a parametric insurance payout of equivalent expected value.","Three-arm cluster RCT: contingent credit, parametric cover, control","Consumption smoothing and asset retention conditional on trigger; cost per unit of protection delivered","Contingent credit is far cheaper to structure than insurance and needs no underwriter, so a null difference would change the product roadmap.","RQ-02; RQ-07","MFI partners; parametric underwriters; an academic field team","J-PAL King Climate Action Initiative; 3ie; IDRC","4","2","3","2","4","3.05","Reserve","PL-1; LC-04","Idea"
"EXP-19","Climate + Poverty","Field RCT","Adaptable - any savings-group setting","Savings-group member households","Savings groups where health shocks are a documented cause of default","Health shocks are consistently among the largest causes of both household distress and loan default, and they are idiosyncratic - exactly the risk community structures are supposed to be good at.","SDG 1; SDG 3","Health microinsurance or a health-contingent repayment holiday bundled into group credit.","Cluster RCT on bundled health cover versus credit alone","Default incidence attributable to health events; out-of-pocket health expenditure and asset sales","Idiosyncratic risk diversifies inside a pool far better than covariate climate risk, so this may be the stronger securitisation case even where it is the weaker climate story.","RQ-02","MFI and savings-group networks; health microinsurance providers","3ie; IDRC; Rockefeller Foundation","3","2","3","2","4","2.70","Park","PL-1; LC-04","Idea"
"EXP-20","Climate + Poverty","Field RCT","Adaptable - mixed and single-gender group settings","Women-only and mixed savings groups","Savings-group networks containing both women-only and mixed groups","Savings groups are predominantly women's institutions, and a design that ignores intra-household bargaining will mis-attribute its own effects.","SDG 1; SDG 5","Bundled cover offered across groups of differing composition, with intra-household allocation measured.","Cluster RCT stratified by group composition, with pre-specified heterogeneity analysis","Resilience outcome by group composition; intra-household allocation of the payout","Heterogeneity here is a publishable result in its own right and a required robustness check on every other bundling estimate.","RQ-02; RQ-04","Savings-group networks; an academic field team","3ie; Mastercard Foundation; IDRC","3","3","4","3","4","3.25","Reserve","PL-1; LC-23","Idea"
"EXP-21","Data infrastructure","Field RCT","Adaptable - paper-ledger savings-group networks","Savings groups currently keeping paper ledgers","Savings-group networks operating on paper record-keeping","Digitising the group ledger is a precondition for poolable data, but the act of recording may itself change behaviour - which would make the measurement instrument an intervention.","SDG 1; SDG 8","Digital group ledger with standardised fields, rolled out against continued paper record-keeping.","Cluster RCT on ledger digitisation, measuring behaviour as well as data quality","Repayment rate change attributable to digitisation; completeness and error rate of captured records","Directly tests whether RT-1 capture is behaviourally neutral, which every downstream estimate quietly assumes.","RQ-06; RQ-23","Savings-group network operators; digital financial services providers","FSD Africa; Mastercard Foundation; IDRC","4","4","4","4","3","3.90","Strong","PL-1; OQ-3; LC-14","Idea"
"EXP-22","Data infrastructure","Field RCT with costing","Adaptable - any originator running two protocols","Loan officers and originating groups","An originator willing to run two origination protocols side by side","The claim that designing for securitisation at origination beats retrofitting it has never been tested, and neither has its cost.","SDG 1; SDG 8","Securitisation-ready origination protocol (full RT-1 field set) versus the originator's standard protocol, on randomly assigned branches or officers.","Randomised protocol assignment with activity-based costing of both arms","Marginal operational cost per household of the fuller protocol; marginal gain in default predictability","The direct test of RQ-06 and one of the two falsification tests that can run before any product pilot.","RQ-01; RQ-06; RQ-21; RQ-22","An MFI or savings-group network with branch-level operations","FSD Africa; IDRC","5","4","3","3","3","4.00","Flagship candidate","PL-1; OQ-3; RT-1; OQ-15","Selected"
"EXP-23","Capital markets","Framed experiment with investors","No field site required","Impact investors, structurers and credit analysts","Professional investors and analysts recruited through fund networks and industry bodies","The sector assumes investors will not price community-originated assets because the data is poor, but nobody has measured what disclosure actually changes a price.","SDG 17","Present a synthetic community-originated data tape to investors with randomly varied disclosure - track record length, field granularity, verification status - and elicit indicative pricing.","Framed field experiment with randomised information sets and incentivised elicitation","Indicative spread quoted, and willingness to engage at all, by disclosure condition","Turns RT-5 output into a research instrument. Needs no field site, no IRB burden beyond standard human-subjects review, and no partner NGO.","RQ-05; RQ-19","Impact-investor networks; microfinance investment vehicle managers; industry associations","Academic small-grant schemes; institutional research funds","5","5","3","5","2","4.40","Flagship candidate","RT-5; OQ-2","Idea"
"EXP-24","Capital markets","Structured elicitation","No field site required","Rating analysts, structurers and DFI credit committees","Professionals who decide whether an asset class is rateable","Whether a rating agency will engage with community-level receivables before a track record exists is the open residual on OQ-2, and it is currently unanswered because nobody has asked systematically.","SDG 17","Structured elicitation and scenario review with raters and structurers on eligibility criteria, minimum track record, and what would have to be true to rate this asset class.","Delphi-style structured elicitation with pre-registered scenario set","Stated minimum conditions for engagement; convergence across respondents","Converts the biggest unknown in the securitisation thesis from speculation into documented expert opinion, and doubles as relationship-building.","RQ-05; RQ-19","Rating agencies; structuring advisers; DFI blended-finance desks","Academic small-grant schemes","4","4","3","4","2","3.65","Strong","OQ-2; RT-5","Idea"
"EXP-25","Risk modelling","Administrative data study","Multi-country, wherever partner data exists","Existing loan portfolios of savings-group networks and MFIs","Historical management-information-system data from one or more originators across regions","The pooling thesis rests on defaults being idiosyncratic rather than covariate. If they are covariate, diversification buys far less than assumed and the structure does not work.","SDG 17","No product. Estimate default correlation across groups, regions, time and agro-climatic zones from existing portfolio data.","Multi-level correlation estimation on historical administrative panels","Estimated cross-group and cross-region default correlation; covariate share of total variance","Feeds RT-5 the one parameter it currently assumes. A falsification test that can run before any pilot exists.","RQ-03; RQ-13; RQ-28","MFI and savings-group networks willing to share historical data; sector data repositories","FSD Africa; academic research funds","5","4","3","4","3","4.10","Flagship candidate","RT-5; OQ-2; LC-08; OQ-15","Selected"
"EXP-26","Risk modelling","Administrative data study","Multi-country, wherever partner data exists","Existing savings-group and microfinance loan books","A historical loan book with observed defaults and recoveries","There is no published loss curve for community-originated lending in a form a structured-finance analyst would recognise, which is why the asset class cannot be priced.","SDG 17","No product. Fit survival and hazard models to time-to-default and time-to-claim, and estimate loss given default from observed recoveries.","Survival analysis with horizon sensitivity on historical panels","Fitted default hazard and loss-given-default estimates with stated confidence bounds","Produces the loss curve RT-5 currently synthesises, and is publishable independently of any pilot.","RQ-03; RQ-12","MFI and savings-group networks; sector data repositories","FSD Africa; academic research funds","4","4","3","4","3","3.75","Strong","RT-5; LC-07","Idea"
"EXP-27","Risk modelling","Simulation study","No field site required","Simulated pools calibrated to observed parameters","Model portfolios built from whatever empirical parameters are available","The enhancement level required to reach investment grade is asserted from blended-finance averages rather than derived from this asset class, and the sensitivity of that number is unknown.","SDG 17","No product. Systematic sensitivity analysis of first-loss thickness, originator diversification and reserve design against modelled loss distributions.","Monte Carlo waterfall simulation with full parameter sweep","Required first-loss thickness for investment-grade loss characteristics, and its sensitivity to each input","RT-5 already exists; this is the study that turns it from an internal tool into a paper. Weak alone, strong once EXP-25 or EXP-26 supplies real parameters.","RQ-03; RQ-14; RQ-24","None required","Institutional research funds","3","5","5","5","1","3.90","Strong","RT-5; OQ-2; OQ-6","Idea"
"EXP-28","Risk modelling","Evidence synthesis","Multi-country, from published replication data","Participants in published savings-group and microcredit trials","Replication archives of completed randomised evaluations","A large body of savings-group RCT data exists and has been analysed exclusively for treatment effects. Nobody has re-read it for the cash-flow properties a financial engineer would want.","SDG 17","No product. Re-analyse published trial data for repayment timing, arrears distribution and variance rather than mean treatment effects.","Individual participant data re-analysis with hierarchical pooling across trials","Pooled distributional properties of repayment behaviour across contexts; between-study heterogeneity","Cheap, fast, publishable, and it directly tests how far risk parameters travel between sites.","RQ-03; RQ-08; RQ-28","Trial authors and replication archives; academic collaborators","Academic research funds","4","4","4","4","2","3.80","Strong","LC-08; LC-13","Idea"
"EXP-29","Climate + Poverty","Field pilot and protocol development","Israel","Migrant workers in employer-linked savings and lending arrangements","Migrant-worker communities operating informal savings arrangements within a regulated employment framework","Migrant workers save and lend informally with no formal cover, and a shock at home or in employment cascades into loss of both income and status.","SDG 1; SDG 8; SDG 10","Savings product with income-protection cover anchored to an existing worker network, used primarily as a controlled setting to develop the protocol and data pipeline.","Small-n pilot with matched comparison; the value is protocol development, not identification","Protocol and instrument performance; take-up and cover-in-force; data completeness","Logistically accessible testbed for the RT-1 pipeline, the survey instruments and the consent protocol before deploying somewhere harder.","RQ-08; RQ-29","Worker associations; Israeli community development organisations; a local academic research centre","Local foundations and academic funds - note Israel is ineligible for most development-research grant streams","3","4","3","4","2","3.30","Reserve","PL-1; LC-22","Idea"
"EXP-30","Climate + Poverty","Field RCT","Adaptable - any index-insurance pilot site","Insured smallholder households","Smallholder farmers under an index insurance product","Basis risk is the standard explanation for weak index-insurance demand, but whether reducing it is worth its cost has not been established.","SDG 1; SDG 2; SDG 13","The same cover verified two ways: a satellite-derived area index versus picture-based or field-verified loss assessment.","Cluster RCT on verification method, with both measures collected for every household","Measured basis-risk rate by method; welfare effect per unit of verification cost","Feeds the index-design side of RT-3 and answers whether cheap-and-imperfect is the efficient design.","RQ-07; RQ-25","Parametric underwriters; agricultural research institutes; an academic field team","J-PAL King Climate Action Initiative; IDRC; Green Climate Fund","4","3","3","3","4","3.45","Strong","PL-1; LC-03","Idea"
