"ID","University","Department_Program","Country","City","Region","URL","Format","Funding_Summary","Key_Supervisors","Advantages","Disadvantages","Venture_Pilot_Fit","Tier","Verification_Status","Fit_Notes","Tuition","Scholarships_Grants","TA_RA_Opportunities","Net_Earnings_Estimate"
"PHD-13","SOAS University of London","MPhil/PhD Development Economics; Centre for Sustainable Finance / Centre for Global Finance","UK","London","UK","https://www.soas.ac.uk/study/find-course/mphil/phd-development-economics","MPhil upgrading to PhD; 3 yrs +1 FT or 6 yrs +1 PART-TIME (on-campus London, not distance).","Home fee ~GBP 5,055; intl ~GBP 23,390. ESRC (Bloomsbury DTP), Felix (developing-country nationals), SOAS Teaching, Tibawi. Intl funding competitive; self-fund often the default.","Ulrich Volz (development/sustainable/climate finance, financial-market development; Director, SOAS Centre for Sustainable Finance)","Arguably the strongest UK thematic home for development finance + financial inclusion + sustainable finance in one place; part-time route; Felix/DTP funding; regional strengths fit migrant-worker + African field sites.","Lighter on hard structured-finance/tranching technique and quant asset pricing than a finance school; intl funding competitive; part-time still needs London presence.","High: part-time route, fieldwork-native; but periodic London presence needed.","1","Supervisor verified (Volz); confirm finance co-supervisor","Top-tier thematic + supervisor fit, part-time-friendly. Pair with a structured-finance mentor.","2025/26: Home (UK) GBP 5,055/yr; International GBP 23,390/yr (~USD 29,700).","ESRC studentships via the UBEL/Bloomsbury DTP - internationals ARE eligible (since 2021/22) but each DTP is capped ~30% international; award pays home-rate fees + a London-weighted UKRI stipend. Felix (SOAS) does NOT fit (developing-country/Indian nationals only); Commonwealth also n/a for Israel. SOAS Teaching/GTA and Tibawi are smaller/partial.","SOAS Teaching Scholarships and Graduate Teaching Assistantships (competitive, hourly, not guaranteed or required).","If ESRC-funded: ~GBP 20,780-22,780/yr tax-free stipend + fees covered (~USD 27,000-29,000); London: TIGHT-to-INSUFFICIENT even funded. Self-funded international: pays GBP 23,390 tuition + London living = strongly negative."
"PHD-14","University of Manchester","Global Development Institute (PhD); Alliance MBS for finance co-supervision","UK","Manchester","UK","https://www.gdi.manchester.ac.uk/study/phd-opportunities/","PhD 3-4 yrs FT; part-time available; proposal-driven, supervisor-first.","ESRC NWSSDTP + President's Doctoral Scholar awards (intl-eligible, competitive); GDI funds few per year.","Kunal Sen (development econ, growth); Antonio Savoia (development finance, governance); Dereje Regasa (financial development, banking); Armando Barrientos (social protection - insurance/safety-net angle)","Genuine development-finance + social-protection cluster with named, sourced fits; strong impact-evaluation + fieldwork culture; large DTP; African field sites core.","Development-studies, not a finance faculty - tranching/securitization needs an Alliance MBS co-supervisor; intl funding competitive.","High: fieldwork-native, part-time possible, African sites core.","1","Supervisors verified (multiple)","Excellent development-finance/social-protection supervision with real named fits; add a finance co-supervisor for the securitization craft.","2026 entry: Home (UK) GBP 6,000/yr; International GBP 22,500/yr (~USD 28,600). Part-time roughly half.","ESRC NWSSDTP fully-funded studentships (fees + UKRI maintenance GBP 20,780), internationals eligible subject to the ~30% cap (fees at home rate). President's Doctoral Scholar award: stipend GBP 21,805 + GBP 1,000 and FULL international tuition, open to all nationalities, highly competitive.","GTA/RA roles across the School of Environment, Education and Development; not guaranteed, not required; rates unpublished.","With PDS: ~GBP 22,805/yr tax-free + full intl tuition covered (~USD 29,000). With NWSSDTP: ~GBP 20,780 tax-free + home-rate fees (~USD 26,400). Manchester (low rents): COMFORTABLY COVERS. Self-funded international: insufficient."
"PHD-15","University of East Anglia","School of Global Development (PhD)","UK","Norwich","UK","https://www.uea.ac.uk/about/school-of-global-development/phd-programmes","PhD 3-4 yrs; part-time available; proposal-driven.","SeNSS DTP studentships cover fees for BOTH UK and international students + stipend (genuinely intl-friendly DTP); January deadlines; competitive.","Arjan Verschoor (field/lab experiments on risk, agricultural investment and weather-index insurance in Uganda - RCT + microinsurance core)","Possibly the single best UK methodological supervisor fit for microinsurance + experimental impact evaluation; intl-eligible DTP funding; part-time possible; African fieldwork standard.","Development-studies base - securitization/tranching needs a finance co-supervisor; smaller finance footprint.","High: fieldwork-native, RCT culture, African sites standard.","1","Supervisor verified (Verschoor)","Outstanding fit for the insurance + RCT core, with international-eligible funding. A top pick; pair with structured-finance input.","SeNSS-funded students are exempt from the higher international fee. Exact Home/International PGR tuition not confirmed on an official page (UEA renders it via JavaScript) - treat as unverified.","SeNSS ESRC DTP studentships cover tuition for BOTH UK and international students AND pay the standard UKRI stipend (GBP 20,780, 2025/26); internationals explicitly eligible (subject to the ~30% DTP cap). Verschoor (weather-index insurance / RCTs) aligns with SeNSS pathways.","GTA/RA available; not published as guaranteed or required.","With SeNSS: ~GBP 20,780/yr tax-free + full tuition covered (~USD 26,400). Norwich (low-cost): COMFORTABLY COVERS. Self-funded international: insufficient."
"PHD-16","University of Bath","Centre for Development Studies (Dept of Social & Policy Sciences), PhD","UK","Bath","UK","","PhD FT/PT available; proposal-driven. Confirm exact CDS PhD entry page.","SWDTP (ESRC South West DTP) studentships, intl-eligible but competitive.","Susan Johnson (financial inclusion + microfinance; long ties to FSD Kenya)","Rare named fit on financial inclusion in African contexts with real practitioner (FSD Kenya) ties - very close to the African field-site plan; part-time route possible.","Development-studies base (not finance) - securitization technique needs a co-supervisor; confirm Johnson's current supervising availability + exact PhD route/URL.","High.","1","Supervisor verified (Johnson); confirm availability + URL","Strong supervisor fit on financial inclusion in Africa; pursue if she is available to supervise.","2025/26 (HSS PGR band): Home GBP 4,900/yr; Overseas GBP 23,500/yr (~USD 29,800); up to ~8% annual rise.","The CDS route is delivered as the SWDTP-only 'PhD Global Challenges & Transformations' pathway: ESRC studentship covers fees + UKRI stipend (GBP 20,780); internationals eligible subject to the ~30% cap (fees at home rate). Susan Johnson (financial inclusion, FSD Kenya) sits in this pathway.","GTA/RA available in Social & Policy Sciences; not guaranteed or required.","With SWDTP: ~GBP 20,780/yr tax-free + fees covered (~USD 26,400). Bath: COMFORTABLY COVERS but tighter than Norwich/Manchester (high rents for a small city). Self-funded overseas: insufficient."
"PHD-17","University of Reading","ICMA Centre (Henley Business School), PhD in Finance","UK","Reading","UK","https://www.icmacentre.ac.uk/study/phd-dba/phd-in-finance","Full-time only, 3-4 yrs, September start.","Henley/ICMA departmental scholarships, regional bursaries, Felix (developing-country nationals). Funded seats limited.","Lisa Schopohl (programme director). Capital-markets/derivatives/structured-products school; community-lending topic supervisor To identify.","Real structured-finance/securitization/market-microstructure technique - the strongest of the pure-finance homes for the tranching craft; Felix funding for developing-country nationals.","Full-time only (venture-unfriendly); development/impact-evaluation is not ICMA's strength; community-lending supervisor unverified.","Low-moderate (FT only).","2","Program verified; best as securitization co-supervision","Best of the pure-finance options for the securitization craft, but weak on development/impact side and full-time only.","","","",""
"PHD-18","Bayes Business School (City St George's, University of London)","Faculty of Actuarial Science & Insurance, PhD / Executive PhD","UK","London","UK","https://www.bayes.citystgeorges.ac.uk/study/phd/actuarial-science","PhD full-time; also an Executive PhD in Actuarial Science (part-time, fee-paying, practitioner-oriented).","Bayes PhD studentships limited/competitive; Executive PhD is self-funded.","Ioannis Kyriakou (actuarial finance). UK-leading insurance/actuarial faculty; named microinsurance/index-insurance supervisor To identify.","Best UK actuarial/insurance faculty for the microinsurance pricing/underwriting/first-loss layer; the part-time Executive PhD is unusually venture-compatible.","Weak on development-economics/impact-evaluation and African fieldwork; standard PhD funding limited; Executive PhD self-funded.","Executive PhD high; standard PhD moderate.","2","Program verified; strong as actuarial co-supervision","The home for the actuarial/insurance-structuring dimension; strongest as a co-supervision partner or via the part-time Executive route.","","","",""
"PHD-19","Institute of Development Studies / University of Sussex","PhD by Research (degree awarded by Sussex)","UK","Brighton","UK","https://www.ids.ac.uk/learn-at-ids/phd-by-research/","3-4 yrs FT; 8 yrs PT but UK RESIDENTS ONLY (intl students cannot do PT on a student visa).","No direct IDS/Sussex funding; ESRC SEDarc/SeNSS DTP routes. Intl PT barred.","Historic financial-inclusion/social-protection strength but currently-accepting supervisors rotate; verify a matched, available supervisor (do not assume).","World-leading development-studies brand; deep social-protection/financial-inclusion heritage; values field experience.","No in-house funding; part-time closed to international students; current advertised supervisors do not match; light on structured finance.","Moderate-high for UK residents; reduced if PT needed as an international student.","3","Supervisor + PT eligibility to verify","Strong thematic home only if UK-resident and a matched supervisor is confirmed.","","","",""
"PHD-07","University of Geneva","PhD in Finance with Swiss Finance Institute (GFRI/GSEM)","Switzerland","Geneva","Europe","https://www.unige.ch/gfri/education/phd-finance-sfi","Full-time, ~4-5 yrs (1 coursework + 3 research); English. Funded via SFI fellowship or assistantship. No part-time.","Tuition only CHF 500/semester; fellowship/assistantship covers living (high Swiss stipends). Very competitive.","Bernd Balkenhol (Professor of Micro-Finance, GFRI; ex-ILO Social Finance - EMERITUS, confirm capacity); Catalina Martinez Gutierrez (impact investing); Giuseppe Ugazio (behavioral philanthropy)","Elite finance training + a genuine microfinance chair and impact-investing lecturer; near-zero tuition + funded; Geneva hub for development finance/impact investing/ILO.","No part-time; demanding first coursework year; a finance PhD - RCT/field-experiment supervision thinner; Balkenhol emeritus; very competitive quant bar.","Medium: excellent theme + network, but full-time coursework-heavy early on.","2","Supervisor verified (confirm Balkenhol active supervision)","Highly quantitative sustainable finance. Strong on theme, funding and network; best if he can commit full-time.","CHF 500/semester (~CHF 1,000/yr, ~USD 1,250); same for Swiss and international.","Every SFI PhD offer includes an SFI fellowship OR a UNIGE teaching/research assistantship - funding is part of admission; non-EU eligible. Exact SFI fellowship figure not published (confirm with phd@sfi.ch).","Standard route is a salaried UNIGE doctoral-assistant post from yr 1-2; cantonal scale ~CHF 4,000/mo net at 100% in yr 1, rising to a max ~CHF 81,264/yr gross; 100% or 70% contracts, min ~40% of time reserved for the thesis.","~CHF 48,000/yr net (est.) on a 100% assistantship (~USD 60,000), less ~CHF 1,000 tuition. Geneva is very expensive: COVERS BUT TIGHT at 100%; a 70% contract is insufficient-to-tight."
"PHD-08","IESEG School of Management / KU Leuven / University of Lille","Joint IESEG-KU Leuven Doctoral Program in Business Economics; or Lille (SESAM) route","France/Belgium","Lille / Paris / Leuven","Europe","https://www.ieseg.fr/en/programs/phd-programs/joint-ieseg-kuleuven-doctoral-program-business-economics/","Joint: full-time, 4 yrs, FULLY FUNDED, salaried Teaching/Research Assistant, no tuition; ~100 teaching hrs/yr; English. Lille route 3-5 yrs, funding project-dependent. No part-time.","Salaried assistant contract (or scholarship), competitive, no fees - one of the cleaner funding propositions.","IESEG via LEM lab; on-topic microfinance supervisor at IESEG To identify. KU Leuven side offers Bert D'Espallier (microfinance) - confirm he can co-supervise on this track.","Salaried, fee-free, English; dual French-Belgian brand; publication-oriented; Paris/Lille workable for European venture activity.","Full-time salaried assistant + teaching load competes with venture time; thematic fit hinges on securing an on-topic supervisor; business-economics framing may favour archival over field RCTs.","Medium: funded + English but teaching duties and full-time status constrain parallel work.","2","Program verified; supervisor to secure (D'Espallier via KUL)","Applied focus. Attractive funding/structure; verify a genuinely on-topic co-promotor before ranking above Geneva.","None - fully funded, no tuition charged to PhD students.","Funded as a salaried Teaching & Research Assistant contract (KU Leuven yr 1, IESEG Lille yrs 2-4) plus IESEG research-support funds. Pay stated only as 'competitive with European institutions'; no euro figure published. No non-EU bar stated.","Salaried TA model, not optional: yr 1 coursework at KU Leuven, then ~100 teaching hrs/yr (~300 total) at IESEG across yrs 2-4.","Salary unpublished; as a salaried assistant, est. ~EUR 2,000-2,400/mo net = ~EUR 24,000-29,000/yr (~USD 26,000-31,000). Lille/Leuven: comfortably covers (est.)."
"PHD-20","Universite libre de Bruxelles / Universite de Mons (CERMi)","Centre for European Research in Microfinance (CERMi); PhD via ULB/UMONS doctoral schools","Belgium","Brussels / Mons","Europe","https://www.cermi.eu/","PhD ~4 yrs, English-capable; often salaried research positions or FNRS/FRESH fellowships. CERMi periodically advertises doctoral fellowships.","Belgian funded-PhD models (salaried positions / FNRS fellowships) available; fellowship/position-dependent - timing matters.","Marek Hudon (microfinance ethics, social enterprise); Ariane Szafarz (microfinance, gender/discrimination in lending, asset mgmt); Marc Labie (microfinance, financial inclusion); Hubert Tchakoute-Tchuigoua (loan contracts, credit risk, CSR in microfinance)","The single most on-topic research home in Europe for microfinance/financial inclusion/social finance - matches VSLA/microinsurance structuring, mission-drift, credit-risk and securitization questions; deep microfinance-industry ties (ADA Luxembourg, European Microfinance Programme).","Funding fellowship/position-dependent (not guaranteed cohort intake); more economics/management-of-microfinance than securitization engineering (bring the tranching layer yourself); dual-institution admin.","High thematically (venture IS the thesis); Belgian networks reach African microfinance sites; full-time positions still constrain time.","1","Supervisors verified (multiple, directly on-topic)","Best-in-class supervisor and thematic fit in Europe. Priority target - approach Hudon/Szafarz/Labie about a securitization-focused thesis.","Nominal Belgian doctoral registration fee ~EUR 835/yr (est.); not a real cost barrier when funded.","Primary route is an F.R.S.-FNRS ASP fellowship (2+2 yrs) or FRESH (social sciences); income-tax-free, Belgian social security. CERMi recruits doctoral fellows on FNRS ASP under Hudon/Szafarz. KEY: FNRS has NO EEA-degree nationality bar (unlike Flemish FWO), so a non-EU (Israeli) applicant is eligible.","FNRS fellows carry no mandatory teaching. Alternative: a salaried ULB/UMONS 'assistant' (mandataire) post with teaching duties.","FNRS fellowship ~EUR 2,300-2,600/mo net, tax-free = ~EUR 28,000-31,000/yr (~USD 30,000-33,000); exact indexed figure unverified. Brussels/Mons: comfortably covers for a single person."
"PHD-21","Geneva Graduate Institute (IHEID)","Centre for Finance and Development (CFD); PhD in International Economics","Switzerland","Geneva","Europe","https://www.graduateinstitute.ch/cfd","PhD in International Economics (development-heavy); English; scholarships competitive; Swiss cost base.","Scholarships available (competitive), not a guaranteed salaried post; high Swiss living costs. Confirm package.","Lore Vandewalle (field experiments/RCTs on financial inclusion, self-help groups, microfinance); Ugo Panizza (development finance, sovereign debt); Nathan Sussman (international finance)","Vandewalle is one of the best individual supervisor matches on the whole list (RCTs + financial inclusion); CFD's impact-investing/development-finance framing fits the private-capital-mobilization thesis precisely; Geneva ecosystem (UN, multilaterals, impact funds) ideal for pilots.","Funding scholarship-competitive; high Swiss living costs; full-time (part-time not standard).","High (network + methods).","1","Supervisor verified (Vandewalle, strong)","Top-tier individual match. Add to shortlist; approach Vandewalle/Panizza directly.","CHF 3,000 in yr 1, then CHF 1,000/yr in yrs 2-4; no domestic/international split.","Every PhD offer carries a 4-yr support package; core is an IHEID scholarship CHF 20,000/yr (CHF 2,000/mo Sep-Jun) plus a need-based tuition reduction; non-EU eligible; re-appliable in later years.","From yrs 3-4, TA/RA positions add income. Non-EU work permits cap activity at 25% (yrs 1-2) and 50% (yrs 3-4); no work in the first 6 months in Switzerland.","~CHF 20,000/yr (~USD 24,000), ~CHF 19,000 net of yr-1 tuition. Geneva: INSUFFICIENT-to-TIGHT on the scholarship alone; workable only with a TA/RA top-up in later years. (Vandewalle fit is strong but the money is thin.)"
"PHD-22","University of Groningen","Faculty of Economics and Business (PhD)","Netherlands","Groningen","Europe","https://www.rug.nl/staff/b.w.lensink/","Dutch PhDs commonly salaried employee positions (~4 yrs) - funding advantage; English. Entry position-dependent.","Salaried-PhD model (must match a funded vacancy or bring funding). Strong funding structure.","Robert Lensink (development finance; microfinance + microinsurance + RCT impact evaluation; J-PAL affiliate)","Salaried-PhD model; Lensink combines microfinance + microinsurance + RCTs - nearly exact methodological fit for the verification-heavy design.","Entry is vacancy/position-dependent; full-time; securitization technique still needs a finance angle.","High methodologically; full-time.","1","Supervisor verified (Lensink, near-exact fit)","Very strong on supervisor fit. Pursue Lensink directly.","None - a Dutch salaried PhD (werknemerspromovendus) is staff, not a fee-paying student.","Funded via a salaried PhD employment contract, advertised as a vacancy on funded projects (NWO/university/faculty). No nationality bar; work/residence permit arranged by the university.","The PhD IS a salaried job; a modest teaching share (~10-15% of time) is usual and part of the employment.","CAO scale P: gross EUR 3,059/mo (yr 1) rising to EUR 3,881/mo (yr 4) as of 1 Jul 2025, +8% holiday +8.3% year-end; net ~EUR 29,000-34,000/yr (~USD 31,000-37,000). Groningen (cheaper Dutch city): comfortably covers."
"PHD-23","University of Antwerp","Institute of Development Policy (IOB), PhD in Development Studies","Belgium","Antwerp","Europe","https://www.uantwerpen.be/en/about-uantwerp/faculties/institute-of-development-policy/development-studies/phd-programme/","PhD (monograph or article-based) + doctoral training; must secure an IOB supervisor before applying; English.","Not automatic: Belgian salaried positions / VLIR-UOS / FWO fellowships where available; some self/externally funded. Verify route early.","Danny Cassimon (development finance / finance-for-development, innovative financing mechanisms, debt sustainability, real options for development financing)","Cassimon a genuine development-finance/blended-finance supervisor - strong fit for mobilizing private capital + structuring; development-studies framing welcomes impact/RCT and policy relevance.","Funding not guaranteed (self-source or win a fellowship); fewer pure structured-finance specialists.","Good: policy-relevance requirement rewards an applied venture; African fieldwork core IOB territory.","2","Supervisor verified (Cassimon); confirm funding route","Strong secondary target on the development-finance structuring layer; confirm funding early.","Nominal Belgian doctoral registration fee ~EUR 835/yr (est.); not a cost barrier when funded.","No default stipend - funding is assembled per candidate: VLIR-UOS (Global South), university BOF doctoral mandates, FWO, or external/own funding. FWO restricts to EEA/Swiss degrees (limits a straight non-EU route); VLIR-UOS/BOF/project funding do not carry that bar. Self-funded admission possible. An IOB supervisor must be secured before admission.","Varies by funding line: BOF/assistant mandates can include teaching; scholarship (VLIR-UOS/FWO) holders generally have no mandatory teaching.","On a Belgian mandate/fellowship, net ~EUR 2,300-2,600/mo = ~EUR 28,000-31,000/yr (~USD 30,000-33,000). Antwerp: comfortably covers IF funded; insufficient if self-funded."
