"ID","Tier","Parent","Question","Short_Form","Discipline_Frame","Advisor_Profile","Method_Implied","Fits_Programs","Component_Refs","Experiment_Refs","Evidence_Refs","Status"
"RQ-11","Sub","RQ-02","Does bundling shift the composition of who borrows, and does any measured improvement in portfolio performance reflect real risk reduction or selection into the treated pool?","Risk reduction or selection?","","","Randomised access with full applicant-side data capture","","LC-04; LC-13","EXP-01; EXP-20","","Active"
"RQ-12","Sub","RQ-03","What hazard specification best fits time-to-default and time-to-claim in community-originated books, and how badly does a short panel bias the resulting loss curve?","Which hazard model fits, and what does a short panel cost?","","","Survival analysis on partner administrative data with horizon sensitivity","","LC-07","EXP-26; EXP-25","","Active"
"RQ-13","Sub","RQ-03","How correlated are defaults across groups, villages and agro-climatic zones, and does the covariate component dominate the idiosyncratic component that community structures are good at managing?","How much of the risk is covariate rather than idiosyncratic?","","","Multi-level correlation estimation on pooled originator data","","LC-08; LC-03","EXP-25; EXP-27","","Active"
"RQ-14","Sub","RQ-03","What first-loss thickness, originator diversification and reserve design bring a modelled pool to investment-grade loss characteristics, and how sensitive is that answer to each assumption?","What enhancement gets to investment grade, and how fragile is that?","","","Monte Carlo waterfall simulation with systematic sensitivity analysis","","LC-09; LC-12","EXP-27","","Active"
"RQ-15","Sub","RQ-04","When a group's loan book is funded externally rather than from members' own savings, does repayment behaviour change, and through which of the screening, monitoring and enforcement channels?","Does external funding change repayment behaviour, and how?","","","Randomised funding-source substitution within matched groups","","LC-02; LC-18","EXP-13","","Active"
"RQ-16","Sub","RQ-04","Does moving the creditor relationship from the member to the group - lending to the collective which then on-lends - preserve or destroy the local information advantage?","Does lending to the group instead of the member preserve local information?","","","Randomised assignment of lending level with performance and information measures","","LC-02; LC-01","EXP-12","","Active"
"RQ-17","Sub","RQ-04","Which group governance rules - buffer size, emergency-fund design, disclosure between members - causally affect default and resilience, and are they substitutes for or complements to formal underwriting?","Which group rules actually move default, and do they substitute for underwriting?","","","Randomised governance-rule variation at group level","","LC-02; LC-01","EXP-14; EXP-15","","Active"
"RQ-18","Sub","RQ-05","What mobilisation ratio do first-loss and guarantee instruments achieve for community-originated asset pools specifically, as against the blended-finance average, and what explains any shortfall?","What do these pools actually mobilise, versus the blended-finance average?","","","Deal-level analysis benchmarked against Convergence and OECD series","","LC-12; LC-11","EXP-23","","Active"
"RQ-19","Sub","RQ-05","What do investors and structurers actually require of a community-originated data tape before they will price it, and how much of the required disclosure is informative rather than conventional?","What disclosure do investors need, and how much of it is informative?","","","Framed field experiment and structured elicitation with investors and raters","","LC-09; LC-12","EXP-23; EXP-24","","Active"
"RQ-20","Sub","RQ-05","How is the spread between what the pool earns and what households pay divided across the structuring, servicing and origination layers, and does securitisation lower or raise the household's cost of credit?","Who captures the spread, and does securitisation help or hurt the borrower?","","","Incidence analysis on the unit-economics model with pilot cost data","","LC-20; LC-17","EXP-22; EXP-27","","Active"
"RQ-21","Sub","RQ-06","Which origination fields are load-bearing for pricing and pooling, and which are collected because a template asked for them?","Which data fields actually carry pricing information?","","","Predictive contribution analysis against the RT-1 field set","","LC-09; LC-14","EXP-22","","Active"
"RQ-22","Sub","RQ-06","What is the marginal operational cost per household of securitisation-ready capture relative to standard practice, and at what portfolio size does it pay for itself?","What does investability cost per household, and when does it pay back?","","","Randomised protocol comparison with activity-based costing","","LC-20; LC-14","EXP-22; EXP-21","","Active"
"RQ-23","Sub","RQ-06","Does digitising the group ledger change repayment behaviour itself, so that the measurement instrument is also an intervention?","Does digitising the ledger change the thing it measures?","","","Randomised rollout of digital ledgers with behavioural outcomes","","LC-14; LC-25","EXP-21","","Active"
"RQ-24","Sub","RQ-07","How spatially correlated are parametric triggers across candidate origination sites, and how many uncorrelated sites does a pool need before diversification meaningfully cuts required capital?","How many uncorrelated sites does diversification actually need?","","","Spatial and temporal correlation analysis of index series","","LC-03; LC-08; LC-06","EXP-06; EXP-27","","Active"
"RQ-25","Sub","RQ-07","Does reducing basis risk through better loss verification raise measured welfare effects enough to justify its cost, or is cheap-and-imperfect the efficient design?","Is lower basis risk worth what it costs?","","","Randomised comparison of index verification methods","","LC-03; LC-05","EXP-30","","Active"
"RQ-26","Sub","RQ-07","Which adaptation outcomes does household-level climate cover actually shift - asset retention, input adoption, distress sales - and which are unmoved?","Which adaptation outcomes does cover actually move?","","","Cluster RCT with pre-specified adaptation outcome family","","LC-05; LC-06","EXP-06; EXP-01","","Active"
"RQ-27","Sub","RQ-08","Do effects estimated in savings groups replicate in agricultural cooperatives and rotating credit associations, or is the institutional form itself a treatment moderator?","Does the institutional form moderate the effect?","","","Common-protocol replication across institutional forms","","LC-01; LC-24","EXP-09; EXP-29","","Active"
"RQ-28","Sub","RQ-08","Which risk-model parameters are portable across sites and which must be re-estimated locally, and what does that imply for the cost of entering a new geography?","Which risk parameters travel, and which do not?","","","Hierarchical model with site-level partial pooling","","LC-08; LC-07","EXP-25; EXP-28","","Active"
"RQ-29","Sub","RQ-08","Can a protocol developed in a logistically easy, well-regulated setting be transferred to a harder field site without losing identification, and what is lost in the move?","Does a protocol developed somewhere easy survive somewhere hard?","","","Sequential two-site design with a shared pre-registered protocol","","LC-25; LC-26","EXP-29; EXP-09","","Active"
